"Date of data","Trading partner code","Trading partner","Commodity code","Commodity","US dollar",
"202505","502","United States","2826","Hluorides; fluorosilicates, fluoroaluminates and other complex fluorine salts.","3,757,526",
"202505","502","United States","2827","Chlorides, chloride oxides and chloride hydroxides; bromides and bromide oxides; iodides and iodide oxides","10,905,020",
"202505","502","United States","2828","Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites","46,260",
"202505","502","United States","2830","Sulphides; polysulphides, whether or not chemically defined","255,184",
"202505","502","United States","2831","Dithionites and sulfoxylates","13,020",
"202505","502","United States","2832","Sulphites; thiosulphates","144,042",
"202505","502","United States","2833","Sulphates; alums; peroxosulphates (persulphates)","1,668,154",
"202505","502","United States","2835","Phosphinates (hypophosphites), phosphonates (phosphites) and phosphates; polyphosphates, whether or not chemically defined.","2,396,809",
"202505","502","United States","2836","Carbonates; peroxocarbonates "percarbonates"; commercial ammonium carbonate containing ammonium carbamate","1,371,897",
"202505","502","United States","2837","Cyanides, cyanide oxides and complex cyanides.","99,743",
"202505","502","United States","2839","Silicates; commercial alkali metal silicates.","60,474",
"202505","502","United States","2840","Borates; peroxoborates (perborates).","39,892",
"202505","502","United States","2841","Salts of oxometallic or peroxometallic acids.","5,788,126",
"202505","502","United States","2842","Salts of inorganic acids or peroxoacids, incl. aluminosilicates whether or not chemically defined (excluding of oxometallic or peroxometallic acids and azides, and inorganic or organic compounds of mercury)","1,101,208",
"202505","502","United States","2843","Colloidal precious metals; inorganic or organic compounds of 
precious metals, whether or not chemically defined; amalgams of 
precious metals.","16,906",
"202505","502","United States","2845","Non-radioactive isotopes; inorganic or organic compounds of such isotopes, whether or not chemically defined","126,579",
"202505","502","United States","2846","Compounds, inorganic or organic, of rareearth metals, of yttrium or of scandium or of mixtures of these metals.","1,268,335",
"202505","502","United States","2849","Carbides, whether or not chemically defined","3,938,076",
"202505","502","United States","2850","Hydrides, nitrides, azides, silicides and borides, whether or not 
chemically defined, other than compounds which are also 
carbides of heading 28.49.","759,038",
"202505","502","United States","2853","Inorganic compounds, incl. distilled or conductivity water and water of similar purity, n.e.s.; liquid air, whether or not rare gases have been removed; compressed air; amalgams (excluding amalgams of precious metals)","173,184",
"202505","502","United States","2901","Acyclic hydrocarbons.","289,581",
"202505","502","United States","2902","Cyclic hydrocarbons.","239,589",
"202505","502","United States","2903","Halogenated derivatives of hydrocarbons","10,369,426",
"202505","502","United States","2904","Sulphonated, nitrated or nitrosated derivatives of hydrocarbons,whether or not halogenated.","520,463",
"202505","502","United States","2905","Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives.","3,960,055",
"202505","502","United States","2906","Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives.","1,687,631",
"202505","502","United States","2907","henols; phenolalcohols.","2,106,737",
"202505","502","United States","2908","Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenolalcohols.","4,702",
